data_code,data_item,asgs,sa4_code,sa4_name,year,value,state
CENSUS_11,Born in Americas (%),SA4,127,Sydney - South West,2011,2.7,New South Wales
CENSUS_11,Born in Americas (%),SA4,127,Sydney - South West,2016,2.3,New South Wales
CENSUS_11,Born in Americas (%),SA4,213,Melbourne - West,2011,1.3,Victoria
CENSUS_11,Born in Americas (%),SA4,213,Melbourne - West,2016,1.3,Victoria
CENSUS_22,Religious Affiliation - Inadequately described or not stated (%),SA4,209,Melbourne - North East,2016,8.4,Victoria
CENSUS_2,Aboriginal and Torres Strait Islander Peoples - Proportion of total population (%),SA4,122,Sydney - Northern Beaches,2011,0.4,New South Wales
CENSUS_2,Aboriginal and Torres Strait Islander Peoples - Proportion of total population (%),SA4,122,Sydney - Northern Beaches,2016,0.6,New South Wales
CENSUS_31,Australian Citizenship - Not stated (%),SA4,318,Townsville,2011,7.1,Queensland
CENSUS_31,Australian Citizenship - Not stated (%),SA4,318,Townsville,2016,8.2,Queensland
CENSUS_22,Religious Affiliation - Inadequately described or not stated (%),SA4,317,Toowoomba,2016,9,Queensland
CENSUS_16,Christianity (%),SA4,210,Melbourne - North West,2016,52.3,Victoria
CENSUS_19,Judaism (%),SA4,701,Darwin,2016,0.1,Northern Territory
CENSUS_4,Born in Oceania and Antarctica (excluding Australia) (%),SA4,213,Melbourne - West,2011,2.7,Victoria
CENSUS_4,Born in Oceania and Antarctica (excluding Australia) (%),SA4,213,Melbourne - West,2016,3.2,Victoria
CENSUS_29,Australian citizen (%),SA4,313,Moreton Bay - North,2011,85.7,Queensland
CENSUS_29,Australian citizen (%),SA4,313,Moreton Bay - North,2016,84.8,Queensland
CENSUS_19,Judaism (%),SA4,901,Other Territories,2016,0.1,Other Territories
CENSUS_10,Born in Southern and Central Asia (%),SA4,120,Sydney - Inner West,2011,5.3,New South Wales
CENSUS_10,Born in Southern and Central Asia (%),SA4,120,Sydney - Inner West,2016,6.4,New South Wales
CENSUS_4,Born in Oceania and Antarctica (excluding Australia) (%),SA4,303,Brisbane - South,2011,5.3,Queensland
CENSUS_4,Born in Oceania and Antarctica (excluding Australia) (%),SA4,303,Brisbane - South,2016,4.7,Queensland
CENSUS_29,Australian citizen (%),SA4,208,Melbourne - Inner South,2011,84.7,Victoria
CENSUS_29,Australian citizen (%),SA4,208,Melbourne - Inner South,2016,82.6,Victoria
CENSUS_17,Hinduism (%),SA4,110,New England and North West,2016,0.4,New South Wales
CENSUS_15,Buddhism (%),SA4,202,Bendigo,2016,1,Victoria
CENSUS_10,Born in Southern and Central Asia (%),SA4,317,Toowoomba,2011,0.8,Queensland
CENSUS_10,Born in Southern and Central Asia (%),SA4,317,Toowoomba,2016,1.7,Queensland
CENSUS_10,Born in Southern and Central Asia (%),SA4,121,Sydney - North Sydney and Hornsby,2011,2.8,New South Wales
CENSUS_10,Born in Southern and Central Asia (%),SA4,121,Sydney - North Sydney and Hornsby,2016,3.5,New South Wales
CENSUS_9,Born in North-East Asia (%),SA4,118,Sydney - Eastern Suburbs,2011,4.8,New South Wales
CENSUS_9,Born in North-East Asia (%),SA4,118,Sydney - Eastern Suburbs,2016,6.1,New South Wales
CENSUS_5,Born in North-West Europe (%),SA4,401,Adelaide - Central and Hills,2011,8.1,South Australia
CENSUS_5,Born in North-West Europe (%),SA4,401,Adelaide - Central and Hills,2016,7.4,South Australia
CENSUS_7,Born in North Africa and the Middle East (%),SA4,603,South East,2011,0.1,Tasmania
CENSUS_7,Born in North Africa and the Middle East (%),SA4,603,South East,2016,0.1,Tasmania
CENSUS_4,Born in Oceania and Antarctica (excluding Australia) (%),SA4,102,Central Coast,2011,2,New South Wales
CENSUS_4,Born in Oceania and Antarctica (excluding Australia) (%),SA4,102,Central Coast,2016,2,New South Wales
CENSUS_21,Secular Beliefs,SA4,315,Queensland - Outback,2016,21.8,Queensland
CENSUS_4,Born in Oceania and Antarctica (excluding Australia) (%),SA4,304,Brisbane - West,2011,3.7,Queensland
CENSUS_4,Born in Oceania and Antarctica (excluding Australia) (%),SA4,304,Brisbane - West,2016,3.6,Queensland
CENSUS_16,Christianity (%),SA4,212,Melbourne - South East,2016,45.5,Victoria
CENSUS_10,Born in Southern and Central Asia (%),SA4,502,Mandurah,2011,0.6,Western Australia
CENSUS_10,Born in Southern and Central Asia (%),SA4,502,Mandurah,2016,0.9,Western Australia
CENSUS_21,Secular Beliefs,SA4,118,Sydney - Eastern Suburbs,2016,32.4,New South Wales
CENSUS_29,Australian citizen (%),SA4,120,Sydney - Inner West,2011,77.9,New South Wales
CENSUS_29,Australian citizen (%),SA4,120,Sydney - Inner West,2016,73.8,New South Wales
CENSUS_16,Christianity (%),SA4,101,Capital Region,2016,59.2,New South Wales
CENSUS_17,Hinduism (%),SA4,401,Adelaide - Central and Hills,2016,1.7,South Australia
CENSUS_13,Total born overseas (%),SA4,509,Western Australia - Wheat Belt,2011,16.7,Western Australia
CENSUS_13,Total born overseas (%),SA4,509,Western Australia - Wheat Belt,2016,17.2,Western Australia
CENSUS_13,Total born overseas (%),SA4,702,Northern Territory - Outback,2011,9.6,Northern Territory
CENSUS_13,Total born overseas (%),SA4,702,Northern Territory - Outback,2016,11.1,Northern Territory
CENSUS_22,Religious Affiliation - Inadequately described or not stated (%),SA4,801,Australian Capital Territory,2016,9.1,Australian Capital Territory
CENSUS_2,Aboriginal and Torres Strait Islander Peoples - Proportion of total population (%),SA4,501,Bunbury,2011,2.2,Western Australia
CENSUS_2,Aboriginal and Torres Strait Islander Peoples - Proportion of total population (%),SA4,501,Bunbury,2016,2.3,Western Australia
CENSUS_4,Born in Oceania and Antarctica (excluding Australia) (%),SA4,211,Melbourne - Outer East,2011,1.5,Victoria
CENSUS_4,Born in Oceania and Antarctica (excluding Australia) (%),SA4,211,Melbourne - Outer East,2016,1.4,Victoria
CENSUS_8,Born in South-East Asia (%),SA4,109,Murray,2011,0.6,New South Wales
CENSUS_8,Born in South-East Asia (%),SA4,109,Murray,2016,0.8,New South Wales
CENSUS_17,Hinduism (%),SA4,116,Sydney - Blacktown,2016,8.7,New South Wales
CENSUS_2,Aboriginal and Torres Strait Islander Peoples - Proportion of total population (%),SA4,205,Latrobe - Gippsland,2011,1.5,Victoria
CENSUS_2,Aboriginal and Torres Strait Islander Peoples - Proportion of total population (%),SA4,205,Latrobe - Gippsland,2016,1.5,Victoria
CENSUS_19,Judaism (%),SA4,507,Perth - South West,2016,0.1,Western Australia
CENSUS_18,Islam (%),SA4,123,Sydney - Outer South West,2016,5.2,New South Wales
CENSUS_18,Islam (%),SA4,403,Adelaide - South,2016,1.1,South Australia
CENSUS_30,Not an Australian citizen (%),SA4,316,Sunshine Coast,2011,7.8,Queensland
CENSUS_30,Not an Australian citizen (%),SA4,316,Sunshine Coast,2016,7.6,Queensland
CENSUS_19,Judaism (%),SA4,301,Brisbane - East,2016,0.1,Queensland
CENSUS_31,Australian Citizenship - Not stated (%),SA4,113,Riverina,2011,6,New South Wales
CENSUS_31,Australian Citizenship - Not stated (%),SA4,113,Riverina,2016,8.3,New South Wales
CENSUS_15,Buddhism (%),SA4,119,Sydney - Inner South West,2016,5.2,New South Wales
CENSUS_9,Born in North-East Asia (%),SA4,406,South Australia - Outback,2011,0.2,South Australia
CENSUS_9,Born in North-East Asia (%),SA4,406,South Australia - Outback,2016,0.2,South Australia
CENSUS_21,Secular Beliefs,SA4,501,Bunbury,2016,36.3,Western Australia
CENSUS_6,Born in Southern and Eastern Europe (%),SA4,702,Northern Territory - Outback,2011,0.5,Northern Territory
CENSUS_6,Born in Southern and Eastern Europe (%),SA4,702,Northern Territory - Outback,2016,0.4,Northern Territory
CENSUS_30,Not an Australian citizen (%),SA4,511,Western Australia - Outback (South),2011,8.7,Western Australia
CENSUS_30,Not an Australian citizen (%),SA4,511,Western Australia - Outback (South),2016,8.7,Western Australia
CENSUS_22,Religious Affiliation - Inadequately described or not stated (%),SA4,504,Perth - North East,2016,10.1,Western Australia
CENSUS_2,Aboriginal and Torres Strait Islander Peoples - Proportion of total population (%),SA4,105,Far West and Orana,2011,15.7,New South Wales
CENSUS_2,Aboriginal and Torres Strait Islander Peoples - Proportion of total population (%),SA4,105,Far West and Orana,2016,16.7,New South Wales
CENSUS_30,Not an Australian citizen (%),SA4,127,Sydney - South West,2011,8.9,New South Wales
CENSUS_30,Not an Australian citizen (%),SA4,127,Sydney - South West,2016,11.8,New South Wales
CENSUS_22,Religious Affiliation - Inadequately described or not stated (%),SA4,217,Warrnambool and South West,2016,10.2,Victoria
CENSUS_21,Secular Beliefs,SA4,312,Mackay - Isaac - Whitsunday,2016,24.8,Queensland
CENSUS_20,Other Religions (%),SA4,602,Launceston and North East,2016,0.5,Tasmania
CENSUS_30,Not an Australian citizen (%),SA4,505,Perth - North West,2011,13.5,Western Australia
CENSUS_30,Not an Australian citizen (%),SA4,505,Perth - North West,2016,14.2,Western Australia
CENSUS_9,Born in North-East Asia (%),SA4,201,Ballarat,2011,0.4,Victoria
CENSUS_9,Born in North-East Asia (%),SA4,201,Ballarat,2016,0.7,Victoria
CENSUS_5,Born in North-West Europe (%),SA4,117,Sydney - City and Inner South,2011,7.7,New South Wales
CENSUS_5,Born in North-West Europe (%),SA4,117,Sydney - City and Inner South,2016,7.6,New South Wales
CENSUS_10,Born in Southern and Central Asia (%),SA4,506,Perth - South East,2011,3.9,Western Australia
CENSUS_10,Born in Southern and Central Asia (%),SA4,506,Perth - South East,2016,6.5,Western Australia
CENSUS_2,Aboriginal and Torres Strait Islander Peoples - Proportion of total population (%),SA4,104,Coffs Harbour - Grafton,2011,4.6,New South Wales
CENSUS_2,Aboriginal and Torres Strait Islander Peoples - Proportion of total population (%),SA4,104,Coffs Harbour - Grafton,2016,5.4,New South Wales
CENSUS_22,Religious Affiliation - Inadequately described or not stated (%),SA4,115,Sydney - Baulkham Hills and Hawkesbury,2016,6.6,New South Wales
CENSUS_2,Aboriginal and Torres Strait Islander Peoples - Proportion of total population (%),SA4,118,Sydney - Eastern Suburbs,2011,0.9,New South Wales
CENSUS_2,Aboriginal and Torres Strait Islander Peoples - Proportion of total population (%),SA4,118,Sydney - Eastern Suburbs,2016,1,New South Wales
CENSUS_15,Buddhism (%),SA4,404,Adelaide - West,2016,3.4,South Australia
CENSUS_2,Aboriginal and Torres Strait Islander Peoples - Proportion of total population (%),SA4,406,South Australia - Outback,2011,10.3,South Australia
CENSUS_2,Aboriginal and Torres Strait Islander Peoples - Proportion of total population (%),SA4,406,South Australia - Outback,2016,10.4,South Australia
CENSUS_12,Born in Sub-Saharan Africa (%),SA4,306,Cairns,2011,0.8,Queensland
CENSUS_12,Born in Sub-Saharan Africa (%),SA4,306,Cairns,2016,0.8,Queensland
CENSUS_13,Total born overseas (%),SA4,112,Richmond - Tweed,2011,12.4,New South Wales
CENSUS_13,Total born overseas (%),SA4,112,Richmond - Tweed,2016,12.4,New South Wales
CENSUS_2,Aboriginal and Torres Strait Islander Peoples - Proportion of total population (%),SA4,201,Ballarat,2011,1.1,Victoria
CENSUS_2,Aboriginal and Torres Strait Islander Peoples - Proportion of total population (%),SA4,201,Ballarat,2016,1.4,Victoria
CENSUS_31,Australian Citizenship - Not stated (%),SA4,301,Brisbane - East,2011,4.4,Queensland
CENSUS_31,Australian Citizenship - Not stated (%),SA4,301,Brisbane - East,2016,5.1,Queensland
CENSUS_16,Christianity (%),SA4,128,Sydney - Sutherland,2016,66.2,New South Wales
CENSUS_2,Aboriginal and Torres Strait Islander Peoples - Proportion of total population (%),SA4,312,Mackay - Isaac - Whitsunday,2011,4.1,Queensland
CENSUS_2,Aboriginal and Torres Strait Islander Peoples - Proportion of total population (%),SA4,312,Mackay - Isaac - Whitsunday,2016,4.9,Queensland
CENSUS_4,Born in Oceania and Antarctica (excluding Australia) (%),SA4,307,Darling Downs - Maranoa,2011,1.6,Queensland
CENSUS_4,Born in Oceania and Antarctica (excluding Australia) (%),SA4,307,Darling Downs - Maranoa,2016,1.7,Queensland
CENSUS_16,Christianity (%),SA4,510,Western Australia - Outback (North),2016,45.3,Western Australia
CENSUS_8,Born in South-East Asia (%),SA4,311,Logan - Beaudesert,2011,2.4,Queensland
CENSUS_8,Born in South-East Asia (%),SA4,311,Logan - Beaudesert,2016,3,Queensland
CENSUS_31,Australian Citizenship - Not stated (%),SA4,305,Brisbane Inner City,2011,7.2,Queensland
CENSUS_31,Australian Citizenship - Not stated (%),SA4,305,Brisbane Inner City,2016,8.8,Queensland
CENSUS_19,Judaism (%),SA4,126,Sydney - Ryde,2016,0.4,New South Wales
CENSUS_21,Secular Beliefs,SA4,111,Newcastle and Lake Macquarie,2016,31.1,New South Wales
CENSUS_31,Australian Citizenship - Not stated (%),SA4,117,Sydney - City and Inner South,2011,11.4,New South Wales
CENSUS_31,Australian Citizenship - Not stated (%),SA4,117,Sydney - City and Inner South,2016,11.3,New South Wales
CENSUS_29,Australian citizen (%),SA4,317,Toowoomba,2011,89.4,Queensland
CENSUS_29,Australian citizen (%),SA4,317,Toowoomba,2016,86.9,Queensland
CENSUS_4,Born in Oceania and Antarctica (excluding Australia) (%),SA4,505,Perth - North West,2011,3.2,Western Australia
CENSUS_4,Born in Oceania and Antarctica (excluding Australia) (%),SA4,505,Perth - North West,2016,3.2,Western Australia
CENSUS_15,Buddhism (%),SA4,313,Moreton Bay - North,2016,0.9,Queensland
CENSUS_13,Total born overseas (%),SA4,319,Wide Bay,2011,12,Queensland
CENSUS_13,Total born overseas (%),SA4,319,Wide Bay,2016,12,Queensland
CENSUS_4,Born in Oceania and Antarctica (excluding Australia) (%),SA4,127,Sydney - South West,2011,4.2,New South Wales
CENSUS_4,Born in Oceania and Antarctica (excluding Australia) (%),SA4,127,Sydney - South West,2016,4.3,New South Wales
CENSUS_10,Born in Southern and Central Asia (%),SA4,116,Sydney - Blacktown,2011,8.4,New South Wales
CENSUS_10,Born in Southern and Central Asia (%),SA4,116,Sydney - Blacktown,2016,12.4,New South Wales
CENSUS_7,Born in North Africa and the Middle East (%),SA4,126,Sydney - Ryde,2011,2.5,New South Wales
CENSUS_7,Born in North Africa and the Middle East (%),SA4,126,Sydney - Ryde,2016,2.7,New South Wales
CENSUS_12,Born in Sub-Saharan Africa (%),SA4,308,Central Queensland,2011,1,Queensland
CENSUS_12,Born in Sub-Saharan Africa (%),SA4,308,Central Queensland,2016,1,Queensland
CENSUS_16,Christianity (%),SA4,302,Brisbane - North,2016,56.6,Queensland
CENSUS_11,Born in Americas (%),SA4,128,Sydney - Sutherland,2011,1.1,New South Wales
CENSUS_11,Born in Americas (%),SA4,128,Sydney - Sutherland,2016,1.3,New South Wales
CENSUS_6,Born in Southern and Eastern Europe (%),SA4,124,Sydney - Outer West and Blue Mountains,2011,2.5,New South Wales
CENSUS_6,Born in Southern and Eastern Europe (%),SA4,124,Sydney - Outer West and Blue Mountains,2016,2.3,New South Wales
CENSUS_16,Christianity (%),SA4,315,Queensland - Outback,2016,62.8,Queensland
CENSUS_6,Born in Southern and Eastern Europe (%),SA4,509,Western Australia - Wheat Belt,2011,0.8,Western Australia
CENSUS_6,Born in Southern and Eastern Europe (%),SA4,509,Western Australia - Wheat Belt,2016,0.7,Western Australia
CENSUS_7,Born in North Africa and the Middle East (%),SA4,122,Sydney - Northern Beaches,2011,0.9,New South Wales
CENSUS_7,Born in North Africa and the Middle East (%),SA4,122,Sydney - Northern Beaches,2016,0.9,New South Wales
CENSUS_4,Born in Oceania and Antarctica (excluding Australia) (%),SA4,316,Sunshine Coast,2011,5.3,Queensland
CENSUS_4,Born in Oceania and Antarctica (excluding Australia) (%),SA4,316,Sunshine Coast,2016,4.9,Queensland
CENSUS_9,Born in North-East Asia (%),SA4,510,Western Australia - Outback (North),2011,0.7,Western Australia
CENSUS_9,Born in North-East Asia (%),SA4,510,Western Australia - Outback (North),2016,0.8,Western Australia
CENSUS_11,Born in Americas (%),SA4,216,Shepparton,2011,0.2,Victoria
CENSUS_11,Born in Americas (%),SA4,216,Shepparton,2016,0.3,Victoria
CENSUS_21,Secular Beliefs,SA4,105,Far West and Orana,2016,20.9,New South Wales
CENSUS_21,Secular Beliefs,SA4,314,Moreton Bay - South,2016,31.6,Queensland
CENSUS_5,Born in North-West Europe (%),SA4,308,Central Queensland,2011,3.2,Queensland
CENSUS_5,Born in North-West Europe (%),SA4,308,Central Queensland,2016,3,Queensland
CENSUS_22,Religious Affiliation - Inadequately described or not stated (%),SA4,121,Sydney - North Sydney and Hornsby,2016,8.8,New South Wales
CENSUS_20,Other Religions (%),SA4,319,Wide Bay,2016,0.4,Queensland
CENSUS_22,Religious Affiliation - Inadequately described or not stated (%),SA4,404,Adelaide - West,2016,8.3,South Australia
CENSUS_13,Total born overseas (%),SA4,216,Shepparton,2011,10.2,Victoria
CENSUS_13,Total born overseas (%),SA4,216,Shepparton,2016,11.3,Victoria
CENSUS_20,Other Religions (%),SA4,103,Central West,2016,0.3,New South Wales
CENSUS_29,Australian citizen (%),SA4,204,Hume,2011,92.1,Victoria
CENSUS_29,Australian citizen (%),SA4,204,Hume,2016,89,Victoria
CENSUS_11,Born in Americas (%),SA4,102,Central Coast,2011,0.8,New South Wales
CENSUS_11,Born in Americas (%),SA4,102,Central Coast,2016,0.9,New South Wales
CENSUS_31,Australian Citizenship - Not stated (%),SA4,308,Central Queensland,2011,7.9,Queensland
CENSUS_31,Australian Citizenship - Not stated (%),SA4,308,Central Queensland,2016,8.6,Queensland
CENSUS_21,Secular Beliefs,SA4,104,Coffs Harbour - Grafton,2016,30.6,New South Wales
CENSUS_30,Not an Australian citizen (%),SA4,128,Sydney - Sutherland,2011,4.8,New South Wales
CENSUS_30,Not an Australian citizen (%),SA4,128,Sydney - Sutherland,2016,5.3,New South Wales
CENSUS_15,Buddhism (%),SA4,310,Ipswich,2016,2.7,Queensland
CENSUS_16,Christianity (%),SA4,501,Bunbury,2016,51,Western Australia
CENSUS_15,Buddhism (%),SA4,125,Sydney - Parramatta,2016,4.7,New South Wales
CENSUS_21,Secular Beliefs,SA4,201,Ballarat,2016,37.2,Victoria
CENSUS_9,Born in North-East Asia (%),SA4,405,Barossa - Yorke - Mid North,2011,0.1,South Australia
CENSUS_9,Born in North-East Asia (%),SA4,405,Barossa - Yorke - Mid North,2016,0.1,South Australia
CENSUS_17,Hinduism (%),SA4,310,Ipswich,2016,1.2,Queensland
CENSUS_17,Hinduism (%),SA4,217,Warrnambool and South West,2016,0.2,Victoria
CENSUS_22,Religious Affiliation - Inadequately described or not stated (%),SA4,502,Mandurah,2016,9.4,Western Australia
CENSUS_10,Born in Southern and Central Asia (%),SA4,504,Perth - North East,2011,2.7,Western Australia
CENSUS_10,Born in Southern and Central Asia (%),SA4,504,Perth - North East,2016,3.9,Western Australia
CENSUS_13,Total born overseas (%),SA4,107,Illawarra,2011,20.3,New South Wales
CENSUS_13,Total born overseas (%),SA4,107,Illawarra,2016,19.8,New South Wales
CENSUS_5,Born in North-West Europe (%),SA4,318,Townsville,2011,4.1,Queensland
CENSUS_5,Born in North-West Europe (%),SA4,318,Townsville,2016,3.9,Queensland
CENSUS_5,Born in North-West Europe (%),SA4,110,New England and North West,2011,2.6,New South Wales
CENSUS_5,Born in North-West Europe (%),SA4,110,New England and North West,2016,2.4,New South Wales
CENSUS_29,Australian citizen (%),SA4,121,Sydney - North Sydney and Hornsby,2011,81.5,New South Wales
CENSUS_29,Australian citizen (%),SA4,121,Sydney - North Sydney and Hornsby,2016,79.3,New South Wales
CENSUS_18,Islam (%),SA4,127,Sydney - South West,2016,8.3,New South Wales
CENSUS_30,Not an Australian citizen (%),SA4,102,Central Coast,2011,4.7,New South Wales
CENSUS_30,Not an Australian citizen (%),SA4,102,Central Coast,2016,4.9,New South Wales
CENSUS_6,Born in Southern and Eastern Europe (%),SA4,403,Adelaide - South,2011,2.4,South Australia
CENSUS_6,Born in Southern and Eastern Europe (%),SA4,403,Adelaide - South,2016,2.2,South Australia
CENSUS_12,Born in Sub-Saharan Africa (%),SA4,601,Hobart,2011,0.8,Tasmania
CENSUS_12,Born in Sub-Saharan Africa (%),SA4,601,Hobart,2016,0.8,Tasmania
CENSUS_11,Born in Americas (%),SA4,211,Melbourne - Outer East,2011,0.8,Victoria
CENSUS_11,Born in Americas (%),SA4,211,Melbourne - Outer East,2016,0.8,Victoria
CENSUS_6,Born in Southern and Eastern Europe (%),SA4,123,Sydney - Outer South West,2011,2.4,New South Wales
CENSUS_6,Born in Southern and Eastern Europe (%),SA4,123,Sydney - Outer South West,2016,2.2,New South Wales
CENSUS_7,Born in North Africa and the Middle East (%),SA4,301,Brisbane - East,2011,0.3,Queensland
CENSUS_7,Born in North Africa and the Middle East (%),SA4,301,Brisbane - East,2016,0.3,Queensland
CENSUS_30,Not an Australian citizen (%),SA4,304,Brisbane - West,2011,11.2,Queensland
CENSUS_30,Not an Australian citizen (%),SA4,304,Brisbane - West,2016,11.9,Queensland
CENSUS_7,Born in North Africa and the Middle East (%),SA4,106,Hunter Valley exc Newcastle,2011,0.1,New South Wales
CENSUS_7,Born in North Africa and the Middle East (%),SA4,106,Hunter Valley exc Newcastle,2016,0.1,New South Wales
CENSUS_13,Total born overseas (%),SA4,503,Perth - Inner,2011,35,Western Australia
CENSUS_13,Total born overseas (%),SA4,503,Perth - Inner,2016,35.8,Western Australia
CENSUS_6,Born in Southern and Eastern Europe (%),SA4,216,Shepparton,2011,2.1,Victoria
CENSUS_6,Born in Southern and Eastern Europe (%),SA4,216,Shepparton,2016,1.7,Victoria
CENSUS_13,Total born overseas (%),SA4,123,Sydney - Outer South West,2011,22.8,New South Wales
CENSUS_13,Total born overseas (%),SA4,123,Sydney - Outer South West,2016,24.5,New South Wales
CENSUS_5,Born in North-West Europe (%),SA4,207,Melbourne - Inner East,2011,4.7,Victoria
CENSUS_5,Born in North-West Europe (%),SA4,207,Melbourne - Inner East,2016,4.2,Victoria
CENSUS_31,Australian Citizenship - Not stated (%),SA4,502,Mandurah,2011,7,Western Australia
CENSUS_31,Australian Citizenship - Not stated (%),SA4,502,Mandurah,2016,7.2,Western Australia
CENSUS_21,Secular Beliefs,SA4,301,Brisbane - East,2016,30.2,Queensland
CENSUS_17,Hinduism (%),SA4,208,Melbourne - Inner South,2016,2.4,Victoria
CENSUS_8,Born in South-East Asia (%),SA4,503,Perth - Inner,2011,5.2,Western Australia
CENSUS_8,Born in South-East Asia (%),SA4,503,Perth - Inner,2016,5.1,Western Australia
CENSUS_18,Islam (%),SA4,505,Perth - North West,2016,2.4,Western Australia
CENSUS_20,Other Religions (%),SA4,112,Richmond - Tweed,2016,0.7,New South Wales
CENSUS_15,Buddhism (%),SA4,317,Toowoomba,2016,0.9,Queensland
CENSUS_8,Born in South-East Asia (%),SA4,103,Central West,2011,0.5,New South Wales
CENSUS_8,Born in South-East Asia (%),SA4,103,Central West,2016,0.7,New South Wales
CENSUS_13,Total born overseas (%),SA4,203,Geelong,2011,15.1,Victoria
CENSUS_13,Total born overseas (%),SA4,203,Geelong,2016,15.4,Victoria
CENSUS_7,Born in North Africa and the Middle East (%),SA4,205,Latrobe - Gippsland,2011,0.2,Victoria
CENSUS_7,Born in North Africa and the Middle East (%),SA4,205,Latrobe - Gippsland,2016,0.2,Victoria
CENSUS_8,Born in South-East Asia (%),SA4,602,Launceston and North East,2011,0.9,Tasmania
CENSUS_8,Born in South-East Asia (%),SA4,602,Launceston and North East,2016,1.1,Tasmania
CENSUS_2,Aboriginal and Torres Strait Islander Peoples - Proportion of total population (%),SA4,314,Moreton Bay - South,2011,1.6,Queensland
CENSUS_2,Aboriginal and Torres Strait Islander Peoples - Proportion of total population (%),SA4,314,Moreton Bay - South,2016,2.1,Queensland
CENSUS_4,Born in Oceania and Antarctica (excluding Australia) (%),SA4,215,North West,2011,1.3,Victoria
CENSUS_4,Born in Oceania and Antarctica (excluding Australia) (%),SA4,215,North West,2016,1.2,Victoria
CENSUS_12,Born in Sub-Saharan Africa (%),SA4,502,Mandurah,2011,1.8,Western Australia
CENSUS_12,Born in Sub-Saharan Africa (%),SA4,502,Mandurah,2016,2.2,Western Australia
CENSUS_10,Born in Southern and Central Asia (%),SA4,209,Melbourne - North East,2011,3.6,Victoria
CENSUS_10,Born in Southern and Central Asia (%),SA4,209,Melbourne - North East,2016,5.3,Victoria
CENSUS_10,Born in Southern and Central Asia (%),SA4,602,Launceston and North East,2011,0.6,Tasmania
CENSUS_10,Born in Southern and Central Asia (%),SA4,602,Launceston and North East,2016,1.1,Tasmania
CENSUS_6,Born in Southern and Eastern Europe (%),SA4,511,Western Australia - Outback (South),2011,0.8,Western Australia
CENSUS_6,Born in Southern and Eastern Europe (%),SA4,511,Western Australia - Outback (South),2016,0.7,Western Australia
CENSUS_29,Australian citizen (%),SA4,217,Warrnambool and South West,2011,92,Victoria
CENSUS_29,Australian citizen (%),SA4,217,Warrnambool and South West,2016,89.2,Victoria
CENSUS_12,Born in Sub-Saharan Africa (%),SA4,114,Southern Highlands and Shoalhaven,2011,0.4,New South Wales
CENSUS_12,Born in Sub-Saharan Africa (%),SA4,114,Southern Highlands and Shoalhaven,2016,0.5,New South Wales
CENSUS_19,Judaism (%),SA4,305,Brisbane Inner City,2016,0.2,Queensland
CENSUS_10,Born in Southern and Central Asia (%),SA4,204,Hume,2011,0.4,Victoria
CENSUS_10,Born in Southern and Central Asia (%),SA4,204,Hume,2016,0.7,Victoria
CENSUS_21,Secular Beliefs,SA4,402,Adelaide - North,2016,34.5,South Australia
CENSUS_11,Born in Americas (%),SA4,206,Melbourne - Inner,2011,1.9,Victoria
CENSUS_11,Born in Americas (%),SA4,206,Melbourne - Inner,2016,2.5,Victoria
